series,date,share,label
U.S. Dollars,2000-01-01,0.7145978458337108,US Dollar
Euro,2000-01-01,0.17504980921703533,Other
Chinese Renminbi,2000-01-01,,Chinese Renminbi
Japanese Yen,2000-01-01,0.06337289318999527,Other
Pounds Sterling,2000-01-01,0.029218317076600022,Other
Australian Dollars,2000-01-01,,Other
Canadian Dollars,2000-01-01,,Other
Swiss Francs,2000-01-01,0.0025630425331803846,Other
U.S. Dollars,2000-04-01,0.720208494261706,US Dollar
Euro,2000-04-01,0.1751483991965012,Other
Chinese Renminbi,2000-04-01,,Chinese Renminbi
Japanese Yen,2000-04-01,0.05996695446151694,Other
Pounds Sterling,2000-04-01,0.027594836469081275,Other
Australian Dollars,2000-04-01,,Other
Canadian Dollars,2000-04-01,,Other
Swiss Francs,2000-04-01,0.002028447796863603,Other
U.S. Dollars,2000-07-01,0.7229876527452503,US Dollar
Euro,2000-07-01,0.16973640160600514,Other
Chinese Renminbi,2000-07-01,,Chinese Renminbi
Japanese Yen,2000-07-01,0.06426290039525469,Other
Pounds Sterling,2000-07-01,0.027292859671799438,Other
Australian Dollars,2000-07-01,,Other
Canadian Dollars,2000-07-01,,Other
Swiss Francs,2000-07-01,0.0022374722218658763,Other
U.S. Dollars,2000-10-01,0.7113749894788997,US Dollar
Euro,2000-10-01,0.18292493005079036,Other
Chinese Renminbi,2000-10-01,,Chinese Renminbi
Japanese Yen,2000-10-01,0.0606547154475571,Other
Pounds Sterling,2000-10-01,0.02753366744370612,Other
Australian Dollars,2000-10-01,,Other
Canadian Dollars,2000-10-01,,Other
Swiss Francs,2000-10-01,0.002691962840999022,Other
U.S. Dollars,2001-01-01,0.7230659293283437,US Dollar
Euro,2001-01-01,0.17707526040129123,Other
Chinese Renminbi,2001-01-01,,Chinese Renminbi
Japanese Yen,2001-01-01,0.05512610492654882,Other
Pounds Sterling,2001-01-01,0.02775837544360361,Other
Australian Dollars,2001-01-01,,Other
Canadian Dollars,2001-01-01,,Other
Swiss Francs,2001-01-01,0.002740240809484682,Other
U.S. Dollars,2001-04-01,0.727020403792395,US Dollar
Euro,2001-04-01,0.17630879665875138,Other
Chinese Renminbi,2001-04-01,,Chinese Renminbi
Japanese Yen,2001-04-01,0.05355349348026987,Other
Pounds Sterling,2001-04-01,0.026483361573997565,Other
Australian Dollars,2001-04-01,,Other
Canadian Dollars,2001-04-01,,Other
Swiss Francs,2001-04-01,0.0026257355462301333,Other
U.S. Dollars,2001-07-01,0.7139917611213881,US Dollar
Euro,2001-07-01,0.18902618888582587,Other
Chinese Renminbi,2001-07-01,,Chinese Renminbi
Japanese Yen,2001-07-01,0.054012083663884526,Other
