country,year,value
Canada,1990-01-01,72.860442
Canada,1991-01-01,73.501045
Canada,1992-01-01,75.004661
Canada,1993-01-01,76.522221
Canada,1994-01-01,78.043471
Canada,1995-01-01,78.996329
Canada,1996-01-01,78.822612
Canada,1997-01-01,80.075322
Canada,1998-01-01,81.584776
Canada,1999-01-01,83.677097
Canada,2000-01-01,86.352597
Canada,2001-01-01,87.739834
Canada,2002-01-01,89.15379
Canada,2003-01-01,89.343178
Canada,2004-01-01,90.086512
Canada,2005-01-01,92.079882
Canada,2006-01-01,93.238892
Canada,2007-01-01,93.284306
Canada,2008-01-01,93.076429
Canada,2009-01-01,93.382989
Canada,2010-01-01,94.397347
Canada,2011-01-01,96.043985
Canada,2012-01-01,96.028176
Canada,2013-01-01,97.416474
Canada,2014-01-01,100.198092
Canada,2015-01-01,100.0
Canada,2016-01-01,100.674545
Canada,2017-01-01,102.256561
Canada,2018-01-01,102.40232
Canada,2019-01-01,102.851455
Canada,2020-01-01,110.959993
Canada,2021-01-01,105.228293
Canada,2022-01-01,104.046567
France,1990-01-01,72.916395
France,1991-01-01,73.830001
France,1992-01-01,75.607026
France,1993-01-01,76.3106
France,1994-01-01,77.885244
France,1995-01-01,79.8219
France,1996-01-01,80.691661
France,1997-01-01,82.026815
France,1998-01-01,84.055794
France,1999-01-01,85.267075
France,2000-01-01,87.525502
France,2001-01-01,89.163111
France,2002-01-01,91.766179
France,2003-01-01,92.289942
France,2004-01-01,93.309866
France,2005-01-01,94.138072
France,2006-01-01,96.481781
France,2007-01-01,96.0296
France,2008-01-01,95.416924
France,2009-01-01,94.440997
France,2010-01-01,95.663522
France,2011-01-01,96.621402
France,2012-01-01,96.937089
France,2013-01-01,98.249867
France,2014-01-01,99.195227
France,2015-01-01,100.0
France,2016-01-01,100.279427
France,2017-01-01,102.395091
France,2018-01-01,102.814627
France,2019-01-01,103.215736
France,2020-01-01,103.5224
France,2021-01-01,101.711063
France,2022-01-01,99.761299
Germany,1990-01-01,70.860694
Germany,1991-01-01,73.324316
