country,year,value
Australia,1990,65.72888
Australia,1991,67.239157
Australia,1992,69.306729
Australia,1993,69.456332
Australia,1994,69.609837
Australia,1995,71.70309
Australia,1996,74.188297
Australia,1997,76.737507
Australia,1998,79.220391
Australia,1999,79.911126
Australia,2000,80.804204
Australia,2001,83.605592
Australia,2002,84.855358
Australia,2003,86.823406
Australia,2004,86.532484
Australia,2005,86.854971
Australia,2006,87.298147
Australia,2007,88.292555
Australia,2008,91.356643
Australia,2009,90.614407
Australia,2010,92.059829
Australia,2011,93.143265
Australia,2012,95.393843
Australia,2013,97.059185
Australia,2014,97.516292
Australia,2015,100.0
Australia,2016,99.750519
Australia,2017,100.911727
Australia,2018,100.940094
Australia,2019,101.875067
Australia,2020,103.672917
Australia,2021,105.35434
Australia,2022,103.344327
Austria,1995,75.995147
Austria,1996,76.071946
Austria,1997,76.743248
Austria,1998,79.645085
Austria,1999,81.066854
Austria,2000,82.995462
Austria,2001,84.054622
Austria,2002,85.648082
Austria,2003,86.323544
Austria,2004,88.009843
Austria,2005,90.130666
Austria,2006,92.526896
Austria,2007,94.8488
Austria,2008,94.853068
Austria,2009,94.187636
Austria,2010,95.612437
Austria,2011,96.561153
Austria,2012,97.610973
Austria,2013,98.238885
Austria,2014,98.591347
Austria,2015,100.0
Austria,2016,99.874312
Austria,2017,101.103167
Austria,2018,101.575145
Austria,2019,101.427562
Austria,2020,103.701761
Austria,2021,103.137449
Austria,2022,105.001025
Belgium,1990,71.623707
Belgium,1991,74.363041
Belgium,1992,76.687044
Belgium,1993,78.604246
Belgium,1994,81.486426
Belgium,1995,81.829314
Belgium,1996,82.850141
Belgium,1997,85.03396
Belgium,1998,85.638558
Belgium,1999,87.413018
Belgium,2000,88.10764
Belgium,2001,88.309445
Belgium,2002,88.915037
Belgium,2003,89.66458
Belgium,2004,92.561794
Belgium,2005,93.971437
Belgium,2006,94.459137
Belgium,2007,96.205262
Belgium,2008,95.614367
Belgium,2009,94.994876
Belgium,2010,96.437346
Belgium,2011,95.778661
Belgium,2012,96.255207
Belgium,2013,97.085446
Belgium,2014,98.476362
Belgium,2015,100.0
Belgium,2016,100.097921
Belgium,2017,99.90136
Belgium,2018,100.107505
Belgium,2019,100.91419
Belgium,2020,104.218911
Belgium,2021,103.229623
Belgium,2022,101.839995
Canada,1990,72.860442
Canada,1991,73.501045
Canada,1992,75.004661
Canada,1993,76.522221
Canada,1994,78.043471
Canada,1995,78.996329
Canada,1996,78.822612
Canada,1997,80.075322
Canada,1998,81.584776
Canada,1999,83.677097
Canada,2000,86.352597
Canada,2001,87.739834
Canada,2002,89.15379
Canada,2003,89.343178
Canada,2004,90.086512
Canada,2005,92.079882
Canada,2006,93.238892
Canada,2007,93.284306
Canada,2008,93.076429
Canada,2009,93.382989
Canada,2010,94.397347
Canada,2011,96.043985
Canada,2012,96.028176
Canada,2013,97.416474
Canada,2014,100.198092
Canada,2015,100.0
Canada,2016,100.674545
Canada,2017,102.256561
Canada,2018,102.40232
Canada,2019,102.851455
Canada,2020,110.959993
Canada,2021,105.228293
Canada,2022,104.046567
Chile,1990,43.516056
Chile,1991,46.334711
Chile,1992,49.840204
Chile,1993,51.003236
Chile,1994,54.00941
Chile,1995,59.713054
Chile,1996,63.74767
Chile,1997,68.871275
Chile,1998,68.938195
Chile,1999,70.438405
Chile,2000,73.042655
Chile,2001,75.301065
Chile,2002,76.012598
Chile,2003,77.11886
Chile,2004,80.188929
Chile,2005,84.633795
Chile,2006,87.975073
Chile,2007,91.546879
Chile,2008,93.714254
Chile,2009,94.298216
Chile,2010,89.896662
Chile,2011,91.840116
Chile,2012,96.420387
Chile,2013,97.846295
Chile,2014,99.538538
Chile,2015,100.0
Chile,2016,101.40208
Chile,2017,101.095525
Chile,2018,103.238005
Chile,2019,103.148356
Chile,2020,116.403302
Chile,2021,118.022271
Chile,2022,110.585433
Colombia,1990,80.75313
Colombia,1991,77.896408
Colombia,1992,80.313182
Colombia,1993,79.539478
Colombia,1994,80.350266
Colombia,1995,80.983077
Colombia,1996,81.801086
Colombia,1997,82.844723
Colombia,1998,83.453047
Colombia,1999,80.30284
Colombia,2000,77.292724
Colombia,2001,77.595159
Colombia,2002,75.929471
Colombia,2003,76.076527
Colombia,2004,80.493718
Colombia,2005,81.934057
Colombia,2006,87.206
Colombia,2007,90.86323
Colombia,2008,90.968175
Colombia,2009,88.592367
Colombia,2010,89.003627
Colombia,2011,92.062785
Colombia,2012,93.122661
Colombia,2013,96.51441
Colombia,2014,99.063807
Colombia,2015,100.0
Colombia,2016,101.89573
Colombia,2017,102.996992
Colombia,2018,104.505878
Colombia,2019,107.793852
Colombia,2020,128.766334
Colombia,2021,114.888693
Colombia,2022,114.050721
Costa Rica,1991,62.894385
Costa Rica,1992,63.56383
Costa Rica,1993,64.723598
Costa Rica,1994,64.034478
Costa Rica,1995,65.333285
Costa Rica,1996,65.593634
Costa Rica,1997,64.659184
Costa Rica,1998,65.374817
Costa Rica,1999,66.886294
Costa Rica,2000,68.092144
Costa Rica,2001,67.691545
Costa Rica,2002,68.151409
Costa Rica,2003,69.11186
Costa Rica,2004,70.84245
Costa Rica,2005,69.609736
Costa Rica,2006,72.355632
Costa Rica,2007,73.340227
Costa Rica,2008,75.650728
Costa Rica,2009,77.795111
Costa Rica,2010,86.883473
Costa Rica,2011,91.054479
Costa Rica,2012,89.785124
Costa Rica,2013,94.482413
Costa Rica,2014,96.884612
Costa Rica,2015,100.0
Costa Rica,2016,104.38458
Costa Rica,2017,106.844514
Costa Rica,2018,108.821
Costa Rica,2019,111.826768
Costa Rica,2020,128.859654
Costa Rica,2021,121.89679
Costa Rica,2022,116.001561
Czechia,1993,54.785895
Czechia,1994,56.304211
Czechia,1995,59.801825
Czechia,1996,62.109112
Czechia,1997,61.934603
Czechia,1998,62.028377
Czechia,1999,63.261133
Czechia,2000,66.001504
Czechia,2001,71.069051
Czechia,2002,72.17471
Czechia,2003,75.911047
Czechia,2004,79.07466
Czechia,2005,83.181538
Czechia,2006,88.300324
Czechia,2007,92.043508
Czechia,2008,91.746867
Czechia,2009,89.624169
Czechia,2010,91.719351
Czechia,2011,93.258994
Czechia,2012,93.645328
Czechia,2013,93.944265
Czechia,2014,95.029948
Czechia,2015,100.0
Czechia,2016,99.648324
Czechia,2017,103.061394
Czechia,2018,104.496517
Czechia,2019,107.318049
Czechia,2020,109.900343
Czechia,2021,110.389704
Czechia,2022,108.038487
Denmark,1990,70.0225
Denmark,1991,71.852811
Denmark,1992,73.089939
Denmark,1993,74.486208
Denmark,1994,79.241655
Denmark,1995,80.420834
Denmark,1996,82.33821
Denmark,1997,82.935028
Denmark,1998,82.839508
Denmark,1999,83.683262
Denmark,2000,85.621617
Denmark,2001,85.319344
Denmark,2002,86.020806
Denmark,2003,87.440463
Denmark,2004,90.232667
Denmark,2005,91.467821
Denmark,2006,92.67329
Denmark,2007,92.844194
Denmark,2008,91.462002
Denmark,2009,90.618973
Denmark,2010,94.165396
Denmark,2011,94.491438
Denmark,2012,96.297436
Denmark,2013,97.054659
Denmark,2014,98.592133
Denmark,2015,100.0
Denmark,2016,101.19061
Denmark,2017,103.081941
Denmark,2018,105.350786
Denmark,2019,106.133113
Denmark,2020,106.725461
Denmark,2021,107.513663
Denmark,2022,106.085182
Estonia,2000,60.560492
Estonia,2001,64.075408
Estonia,2002,68.349719
Estonia,2003,71.797424
Estonia,2004,76.674982
Estonia,2005,81.218156
Estonia,2006,85.312512
Estonia,2007,91.72215
Estonia,2008,88.552101
Estonia,2009,90.417521
Estonia,2010,95.231714
Estonia,2011,93.662779
Estonia,2012,96.81262
Estonia,2013,98.046719
Estonia,2014,100.577555
Estonia,2015,100.0
Estonia,2016,102.659699
Estonia,2017,105.677056
Estonia,2018,112.555701
Estonia,2019,116.175364
Estonia,2020,122.892588
Estonia,2021,122.809256
Estonia,2022,115.69194
Finland,1990,63.298808
Finland,1991,63.770316
Finland,1992,66.113396
Finland,1993,69.701976
Finland,1994,72.776298
Finland,1995,74.08653
Finland,1996,75.59111
Finland,1997,77.927402
Finland,1998,81.054584
Finland,1999,82.913218
Finland,2000,86.503324
Finland,2001,88.169606
Finland,2002,88.969225
Finland,2003,90.866184
Finland,2004,93.926272
Finland,2005,95.692185
Finland,2006,98.01956
Finland,2007,101.2072
Finland,2008,100.029482
Finland,2009,95.574834
Finland,2010,98.890126
Finland,2011,100.283015
Finland,2012,98.685671
Finland,2013,99.005839
Finland,2014,99.23664
Finland,2015,100.0
Finland,2016,102.402464
Finland,2017,104.965323
Finland,2018,103.730121
Finland,2019,104.021717
Finland,2020,104.199854
Finland,2021,105.554282
Finland,2022,106.071557
France,1990,72.916395
France,1991,73.830001
France,1992,75.607026
France,1993,76.3106
France,1994,77.885244
France,1995,79.8219
France,1996,80.691661
France,1997,82.026815
France,1998,84.055794
France,1999,85.267075
France,2000,87.525502
France,2001,89.163111
France,2002,91.766179
France,2003,92.289942
France,2004,93.309866
France,2005,94.138072
France,2006,96.481781
France,2007,96.0296
France,2008,95.416924
France,2009,94.440997
France,2010,95.663522
France,2011,96.621402
France,2012,96.937089
France,2013,98.249867
France,2014,99.195227
France,2015,100.0
France,2016,100.279427
France,2017,102.395091
France,2018,102.814627
France,2019,103.215736
France,2020,103.5224
France,2021,101.711063
France,2022,99.761299
Germany,1990,70.860694
Germany,1991,73.324316
Germany,1992,75.196027
Germany,1993,76.660097
Germany,1994,78.64403
Germany,1995,79.828601
Germany,1996,81.172291
Germany,1997,83.161713
Germany,1998,84.008588
Germany,1999,84.962423
Germany,2000,87.068634
Germany,2001,89.255258
Germany,2002,90.082726
Germany,2003,90.775624
Germany,2004,91.602335
Germany,2005,93.047959
Germany,2006,94.536022
Germany,2007,95.652946
Germany,2008,95.677826
Germany,2009,92.797837
Germany,2010,94.936987
Germany,2011,97.40629
Germany,2012,98.007256
Germany,2013,98.472527
Germany,2014,99.49312
Germany,2015,100.0
Germany,2016,101.355337
Germany,2017,103.162111
Germany,2018,103.375684
Germany,2019,104.113236
Germany,2020,105.31975
Germany,2021,105.93029
Germany,2022,106.460679
Greece,1990,85.118162
Greece,1991,88.019613
Greece,1992,86.235738
Greece,1993,83.340859
Greece,1994,84.819063
Greece,1995,86.571525
Greece,1996,89.615005
Greece,1997,94.067838
Greece,1998,93.596924
Greece,1999,96.605035
Greece,2000,99.931244
Greece,2001,104.006363
Greece,2002,105.903786
Greece,2003,110.602216
Greece,2004,113.95015
Greece,2005,110.72315
Greece,2006,115.482578
Greece,2007,118.477915
Greece,2008,116.852308
Greece,2009,113.813902
Greece,2010,112.768278
Greece,2011,104.811438
Greece,2012,99.396383
Greece,2013,97.136754
Greece,2014,96.530055
Greece,2015,100.0
Greece,2016,95.857787
Greece,2017,97.192622
Greece,2018,93.804184
Greece,2019,95.644556
Greece,2020,98.568151
Greece,2021,98.555131
Greece,2022,99.755927
Hungary,1991,47.683822
Hungary,1992,51.61126
Hungary,1993,54.746741
Hungary,1994,53.732456
Hungary,1995,62.092197
Hungary,1996,62.32868
Hungary,1997,63.371679
Hungary,1998,65.56304
Hungary,1999,66.016295
Hungary,2000,69.258313
Hungary,2001,73.252217
Hungary,2002,77.419456
Hungary,2003,80.214211
Hungary,2004,85.031241
Hungary,2005,90.523321
Hungary,2006,94.371709
Hungary,2007,96.715796
Hungary,2008,99.270977
Hungary,2009,96.284461
Hungary,2010,97.518148
Hungary,2011,100.095506
Hungary,2012,98.813682
Hungary,2013,99.585045
Hungary,2014,98.424617
Hungary,2015,100.0
Hungary,2016,97.739834
Hungary,2017,100.725809
Hungary,2018,104.807861
Hungary,2019,109.181988
Hungary,2020,109.649229
Hungary,2021,113.860246
Hungary,2022,116.57385
Iceland,1990,61.342305
Iceland,1991,61.110491
Iceland,1992,58.572429
Iceland,1993,59.305091
Iceland,1994,61.220542
Iceland,1995,60.532999
Iceland,1996,62.486459
Iceland,1997,65.379376
Iceland,1998,68.98082
Iceland,1999,69.973351
Iceland,2000,71.996279
Iceland,2001,74.704431
Iceland,2002,76.135828
Iceland,2003,78.66312
Iceland,2004,84.015009
Iceland,2005,86.508456
