region,date,percentile,price,band,region_name
2.0,2005-02-01,0.1,35.4,0-10,London
2.0,2005-02-01,0.2,39.2,10-20,London
2.0,2005-02-01,0.3,41.8,20-30,London
2.0,2005-02-01,0.4,55.20000000000001,30-40,London
2.0,2005-02-01,0.5,77.950001,40-50,London
2.0,2005-02-01,0.6,88.1600008,50-60,London
2.0,2005-02-01,0.7,101.6,60-70,London
2.0,2005-02-01,0.8,145.40000000000003,70-80,London
2.0,2005-02-01,0.9,218.00000000000003,80-90,London
2.0,2005-03-01,0.1,37.0,0-10,London
2.0,2005-03-01,0.2,40.0,10-20,London
2.0,2005-03-01,0.3,40.0,20-30,London
2.0,2005-03-01,0.4,46.0,30-40,London
2.0,2005-03-01,0.5,58.5,40-50,London
2.0,2005-03-01,0.6,86.900002,50-60,London
2.0,2005-03-01,0.7,98.0,60-70,London
2.0,2005-03-01,0.8,109.0,70-80,London
2.0,2005-03-01,0.9,190.0,80-90,London
2.0,2005-04-01,0.1,37.0,0-10,London
2.0,2005-04-01,0.2,40.0,10-20,London
2.0,2005-04-01,0.3,40.0,20-30,London
2.0,2005-04-01,0.4,45.0,30-40,London
2.0,2005-04-01,0.5,57.5,40-50,London
2.0,2005-04-01,0.6,86.900002,50-60,London
2.0,2005-04-01,0.7,98.0,60-70,London
2.0,2005-04-01,0.8,109.0,70-80,London
2.0,2005-04-01,0.9,190.0,80-90,London
2.0,2005-05-01,0.1,19.1700006,0-10,London
2.0,2005-05-01,0.2,32.2,10-20,London
2.0,2005-05-01,0.3,36.0,20-30,London
2.0,2005-05-01,0.4,40.0,30-40,London
2.0,2005-05-01,0.5,41.0,40-50,London
2.0,2005-05-01,0.6,45.4,50-60,London
2.0,2005-05-01,0.7,53.19999999999999,60-70,London
2.0,2005-05-01,0.8,87.3200016,70-80,London
2.0,2005-05-01,0.9,95.3,80-90,London
2.0,2005-06-01,0.1,37.5,0-10,London
2.0,2005-06-01,0.2,40.0,10-20,London
2.0,2005-06-01,0.3,40.0,20-30,London
2.0,2005-06-01,0.4,45.0,30-40,London
2.0,2005-06-01,0.5,55.5,40-50,London
2.0,2005-06-01,0.6,86.900002,50-60,London
2.0,2005-06-01,0.7,98.0,60-70,London
2.0,2005-06-01,0.8,109.0,70-80,London
2.0,2005-06-01,0.9,148.0,80-90,London
2.0,2005-07-01,0.1,40.0,0-10,London
2.0,2005-07-01,0.2,40.0,10-20,London
2.0,2005-07-01,0.3,40.0,20-30,London
2.0,2005-07-01,0.4,43.0,30-40,London
2.0,2005-07-01,0.5,46.0,40-50,London
2.0,2005-07-01,0.6,73.7600008,50-60,London
2.0,2005-07-01,0.7,88.5800004,60-70,London
2.0,2005-07-01,0.8,114.60000000000004,70-80,London
2.0,2005-07-01,0.9,145.0,80-90,London
2.0,2005-08-01,0.1,37.0,0-10,London
2.0,2005-08-01,0.2,40.0,10-20,London
2.0,2005-08-01,0.3,40.0,20-30,London
2.0,2005-08-01,0.4,43.0,30-40,London
2.0,2005-08-01,0.5,46.0,40-50,London
2.0,2005-08-01,0.6,70.60000000000001,50-60,London
2.0,2005-08-01,0.7,85.3200016,60-70,London
2.0,2005-08-01,0.8,91.00000000000001,70-80,London
2.0,2005-08-01,0.9,103.8,80-90,London
2.0,2005-09-01,0.1,40.0,0-10,London
2.0,2005-09-01,0.2,40.0,10-20,London
2.0,2005-09-01,0.3,40.0,20-30,London
2.0,2005-09-01,0.4,43.0,30-40,London
2.0,2005-09-01,0.5,46.0,40-50,London
2.0,2005-09-01,0.6,74.60000000000001,50-60,London
2.0,2005-09-01,0.7,89.75999759999999,60-70,London
2.0,2005-09-01,0.8,109.4,70-80,London
2.0,2005-09-01,0.9,134.6,80-90,London
2.0,2005-10-01,0.1,32.400000000000006,0-10,London
2.0,2005-10-01,0.2,42.0,10-20,London
2.0,2005-10-01,0.3,48.0,20-30,London
2.0,2005-10-01,0.4,56.00000000000001,30-40,London
2.0,2005-10-01,0.5,65.0,40-50,London
2.0,2005-10-01,0.6,79.39999999999999,50-60,London
2.0,2005-10-01,0.7,96.19999999999997,60-70,London
2.0,2005-10-01,0.8,117.80000000000003,70-80,London
2.0,2005-10-01,0.9,127.0,80-90,London
2.0,2005-11-01,0.1,35.0,0-10,London
2.0,2005-11-01,0.2,38.0,10-20,London
2.0,2005-11-01,0.3,40.0,20-30,London
2.0,2005-11-01,0.4,41.0,30-40,London
2.0,2005-11-01,0.5,47.5,40-50,London
2.0,2005-11-01,0.6,62.0,50-60,London
2.0,2005-11-01,0.7,89.0900002,60-70,London
2.0,2005-11-01,0.8,96.74000120000001,70-80,London
2.0,2005-11-01,0.9,119.60000000000002,80-90,London
2.0,2005-12-01,0.1,28.0,0-10,London
2.0,2005-12-01,0.2,35.0,10-20,London
2.0,2005-12-01,0.3,37.5,20-30,London
2.0,2005-12-01,0.4,40.0,30-40,London
2.0,2005-12-01,0.5,42.5,40-50,London
2.0,2005-12-01,0.6,45.0,50-60,London
2.0,2005-12-01,0.7,55.0,60-70,London
2.0,2005-12-01,0.8,65.0,70-80,London
2.0,2005-12-01,0.9,95.975,80-90,London
2.0,2006-01-01,0.1,35.0,0-10,London
2.0,2006-01-01,0.2,38.0,10-20,London
2.0,2006-01-01,0.3,40.0,20-30,London
2.0,2006-01-01,0.4,45.0,30-40,London
2.0,2006-01-01,0.5,47.5,40-50,London
2.0,2006-01-01,0.6,81.92000159999999,50-60,London
2.0,2006-01-01,0.7,100.0,60-70,London
2.0,2006-01-01,0.8,110.4,70-80,London
2.0,2006-01-01,0.9,143.65000000000003,80-90,London
2.0,2006-02-01,0.1,32.25,0-10,London
2.0,2006-02-01,0.2,32.25,10-20,London
2.0,2006-02-01,0.3,35.625,20-30,London
2.0,2006-02-01,0.4,44.9800004,30-40,London
2.0,2006-02-01,0.5,64.900002,40-50,London
2.0,2006-02-01,0.6,64.900002,50-60,London
2.0,2006-02-01,0.7,80.0,60-70,London
2.0,2006-02-01,0.8,80.0,70-80,London
2.0,2006-02-01,0.9,86.30000000000001,80-90,London
2.0,2006-03-01,0.1,32.25,0-10,London
2.0,2006-03-01,0.2,40.0,10-20,London
2.0,2006-03-01,0.3,45.0,20-30,London
2.0,2006-03-01,0.4,45.0,30-40,London
2.0,2006-03-01,0.5,50.0,40-50,London
2.0,2006-03-01,0.6,64.900002,50-60,London
2.0,2006-03-01,0.7,64.900002,60-70,London
2.0,2006-03-01,0.8,79.900002,70-80,London
2.0,2006-03-01,0.9,109.0,80-90,London
2.0,2006-04-01,0.1,39.5,0-10,London
2.0,2006-04-01,0.2,44.400000000000006,10-20,London
2.0,2006-04-01,0.3,45.0,20-30,London
2.0,2006-04-01,0.4,59.7800004,30-40,London
2.0,2006-04-01,0.5,75.0,40-50,London
2.0,2006-04-01,0.6,79.900002,50-60,London
2.0,2006-04-01,0.7,93.25,60-70,London
2.0,2006-04-01,0.8,142.6660000000001,70-80,London
2.0,2006-04-01,0.9,195.0,80-90,London
2.0,2006-05-01,0.1,40.0,0-10,London
