quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description,region_name
2013-12-01,211.0,640406,8.0,38.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2005-07-01,440.0,640406,4.0,25.0,,640406,HOTEL 1 NIGHT PRICE,South West
2011-03-01,378.0,640406,7.0,119.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2019-04-01,15323.0,640406,5.0,65.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2009-01-01,218.0,640406,5.0,75.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2007-11-01,642.0,640406,9.0,124.95,,640406,HOTEL 1 NIGHT PRICE,North West
2017-05-01,243.0,640406,6.0,75.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2013-03-01,5004.0,640406,8.0,36.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2011-01-01,243.0,640406,6.0,75.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2010-06-01,642.0,640406,9.0,85.949997,,640406,HOTEL 1 NIGHT PRICE,North West
2022-02-01,400.0,640406,7.0,194.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2010-05-01,5042.0,640406,8.0,70.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2019-08-01,14310.0,640406,2.0,65.0,,640406,HOTEL 1 NIGHT PRICE,London
2007-12-01,370.0,640406,9.0,25.0,,640406,HOTEL 1 NIGHT PRICE,North West
2017-09-01,333.0,640406,12.0,118.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2010-05-01,5028.0,640406,8.0,35.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2023-06-01,210.0,640406,8.0,125.99,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2011-07-01,268.0,640406,11.0,44.0,,640406,HOTEL 1 NIGHT PRICE,Wales
2006-03-01,224.0,640406,6.0,40.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2018-09-01,16040.0,640406,6.0,90.5,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2008-04-01,673.0,640406,3.0,64.0,,640406,HOTEL 1 NIGHT PRICE,South East
2006-11-01,210.0,640406,8.0,56.25,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2018-01-01,664.0,640406,2.0,35.0,,640406,HOTEL 1 NIGHT PRICE,London
2007-03-01,526.0,640406,4.0,105.0,Q,640406,HOTEL 1 NIGHT PRICE,South West
2016-07-01,5106.0,640406,9.0,86.75,,640406,HOTEL 1 NIGHT PRICE,North West
2014-07-01,323.0,640406,5.0,89.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2020-02-01,211.0,640406,8.0,40.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2016-01-01,517.0,640406,2.0,73.0,,640406,HOTEL 1 NIGHT PRICE,London
2011-02-01,517.0,640406,2.0,75.0,,640406,HOTEL 1 NIGHT PRICE,London
2012-05-01,544.0,640406,2.0,49.0,,640406,HOTEL 1 NIGHT PRICE,London
2023-07-01,5112.0,640406,13.0,176.0,,640406,HOTEL 1 NIGHT PRICE,Northern Ireland
2006-09-01,505.0,640406,3.0,90.0,,640406,HOTEL 1 NIGHT PRICE,South East
2019-04-01,15450.0,640406,2.0,334.0,,640406,HOTEL 1 NIGHT PRICE,London
2009-08-01,221.0,640406,10.0,40.0,,640406,HOTEL 1 NIGHT PRICE,North
2015-08-01,372.0,640406,9.0,62.450001,,640406,HOTEL 1 NIGHT PRICE,North West
2015-04-01,14596.0,640406,9.0,40.0,,640406,HOTEL 1 NIGHT PRICE,North West
2012-11-01,5064.0,640406,7.0,35.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2007-08-01,503.0,640406,7.0,40.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2016-06-01,5289.0,640406,2.0,333.0,,640406,HOTEL 1 NIGHT PRICE,London
2012-03-01,733.0,640406,3.0,125.0,,640406,HOTEL 1 NIGHT PRICE,South East
2007-03-01,524.0,640406,2.0,84.900002,,640406,HOTEL 1 NIGHT PRICE,London
2007-09-01,503.0,640406,8.0,127.5,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
