,location_name,id,year,val,upper,lower
1,Alabama,1,2000,74.3647630301986,74.5694995642658,74.1544993569503
69,Alaska,2,2000,76.391838507254,76.7750300027253,76.0396895920919
108,Arizona,4,2000,77.2694115849461,77.4685320997256,77.0592821490041
124,Arkansas,5,2000,74.8723421695541,75.1379915639899,74.6135568597888
200,California,6,2000,78.1386641593563,78.2271740280031,78.0510368519435
259,Colorado,8,2000,78.1588328340536,78.3854858365341,77.9194248929375
324,Connecticut,9,2000,78.2625137319548,78.5240229421802,78.0083716540173
333,Delaware,10,2000,76.2110078379125,76.5563759872894,75.8535250881164
337,District of Columbia,11,2000,72.0313998468045,72.4896299647656,71.5852675633217
339,Florida,12,2000,77.2478700787792,77.3672713841193,77.1216400909946
408,Georgia,13,2000,74.983556958557,75.1285918807271,74.8343476679783
568,Hawaii,15,2000,79.5316586881017,79.8812063693704,79.158209050663
574,Idaho,16,2000,77.8457537879883,78.1918484135839,77.489645067498
619,Illinois,17,2000,76.5431750501879,76.6730525892274,76.4037782462728
722,Indiana,18,2000,75.9779466272504,76.1651491544261,75.811786037254
815,Iowa,19,2000,78.3131618415975,78.5665349796913,78.032227465809
915,Kansas,20,2000,77.2360160255078,77.506147147208,76.9473008680989
1021,Kentucky,21,2000,75.0119028054262,75.2280463123912,74.7987004576855
1142,Louisiana,22,2000,74.0838879084404,74.2877587688821,73.8850040508052
1207,Maine,23,2000,77.410061324501,77.7624568913394,77.0593667131148
1224,Maryland,24,2000,76.1189365021888,76.3043521035801,75.9432533747805
1249,Massachusetts,25,2000,78.1555783018435,78.352551850104,77.9626364605494
1264,Michigan,26,2000,76.3111135659189,76.4669534589723,76.1791215499515
1348,Minnesota,27,2000,78.9296141362235,79.148384502819,78.7095224299176
1436,Mississippi,28,2000,73.4047923656247,73.6665737406881,73.1643642972132
1519,Missouri,29,2000,75.989971796304,76.1728778038535,75.8013093597182
1635,Montana,30,2000,77.1107376161213,77.4688911884775,76.741800078385
1693,Nebraska,31,2000,78.0202082821797,78.3295214349172,77.7049660478371
1787,Nevada,32,2000,75.7409085767302,76.0055624163977,75.4761895759348
1805,New Hampshire,33,2000,78.3852524738004,78.7213048377003,78.0473760486732
1816,New Jersey,34,2000,77.3089757530366,77.4768390694254,77.1466148114012
1838,New Mexico,35,2000,77.1728633899835,77.5065431443766,76.8325034665121
1872,New York,36,2000,77.7334219172541,77.8435330473076,77.6188099337217
1935,North Carolina,37,2000,75.4752310770199,75.636510709646,75.315212219355
2036,North Dakota,38,2000,78.0880783968898,78.4618798455198,77.6959112556158
2090,Ohio,39,2000,76.2570938434285,76.3973040063419,76.1190632432581
2179,Oklahoma,40,2000,75.0104694667204,75.2354639814809,74.7731965631062
2257,Oregon,41,2000,77.711516653239,77.936717466193,77.4692396418322
2294,Pennsylvania,42,2000,76.6367348628573,76.7737966998101,76.508423112059
2362,Rhode Island,44,2000,77.9293545013325,78.2909938473893,77.5466326803448
2368,South Carolina,45,2000,74.6841417712437,74.899284913095,74.4869013102946
2415,South Dakota,46,2000,77.3415255445241,77.7017000756598,76.9688401288066
2484,Tennessee,47,2000,74.6455814072361,74.8255226086041,74.4646235088055
2580,Texas,48,2000,76.4580940527091,76.5587138153951,76.3577273015451
2835,Utah,49,2000,78.4218391503681,78.6919803770808,78.1531311213757
2865,Vermont,50,2000,77.9928803974676,78.3420855468552,77.6314518238658
2880,Virginia,51,2000,76.6622968696218,76.834502069891,76.4936360490226
3017,Washington,53,2000,78.1146748023205,78.3168925617191,77.9198071894739
3057,West Virginia,54,2000,74.8267053417695,75.1528459129053,74.5218947892318
3113,Wisconsin,55,2000,77.8526885744263,78.0612485039938,77.6554469569404
3186,Wyoming,56,2000,76.8685489895431,77.2663451309888,76.4913995299919
3211,Alabama,1,2001,74.4555316035812,74.663678731182,74.262420286398
