Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Nikola Jokić,29,DEN,C,29,29,1070,32.1,.651,.219,.309,10.7,27.4,19.4,42.8,2.2,1.4,12.4,30.7,5.3,1.4,6.6,.298,10.2,2.4,12.6,3.9,,jokicni01
2,Shai Gilgeous-Alexander,26,OKC,PG,32,32,1104,30.2,.639,.294,.379,2.6,14.2,8.4,30.3,2.8,3.4,9.9,33.5,4.5,2.5,7.0,.303,8.3,3.3,11.6,3.8,,gilgesh01
3,Giannis Antetokounmpo,30,MIL,PF,25,25,875,31.5,.630,.035,.547,6.4,29.0,18.1,34.7,1.1,3.9,11.5,36.6,3.1,1.4,4.4,.244,6.7,2.5,9.2,2.5,,antetgi01
4,Jayson Tatum,26,BOS,PF,30,30,1090,24.0,.609,.522,.361,1.9,26.5,14.2,24.8,1.7,1.1,10.6,30.7,3.1,1.8,4.9,.217,5.7,1.3,7.0,2.5,,tatumja01
5,Victor Wembanyama,21,SAS,C,28,28,920,25.9,.607,.490,.232,6.0,26.2,16.3,21.2,1.5,10.7,14.0,32.0,1.1,1.9,3.0,.159,4.9,3.3,8.2,2.4,,wembavi01
6,Alperen Sengun,22,HOU,C,33,33,1040,22.9,.548,.097,.322,11.2,24.3,17.7,26.1,2.0,2.7,12.2,25.9,2.1,2.3,4.4,.205,3.8,2.6,6.4,2.2,,sengual01
7,Domantas Sabonis,28,SAC,C,31,31,1103,24.1,.660,.167,.312,12.1,31.6,21.8,26.5,1.1,1.1,15.8,22.4,3.7,1.3,5.1,.220,4.8,0.9,5.6,2.1,,sabondo01
8,Anthony Davis,31,LAL,C,31,31,1077,27.1,.603,.122,.459,8.3,29.0,18.8,17.9,1.8,5.4,9.2,30.0,2.9,1.6,4.5,.201,4.6,1.0,5.6,2.1,,davisan02
9,Karl-Anthony Towns,29,NYK,C,32,32,1096,26.3,.662,.306,.363,10.0,34.7,22.9,15.0,1.2,2.5,12.0,27.4,3.9,1.8,5.7,.250,5.0,0.3,5.4,2.1,,townska01
10,Josh Hart,29,NYK,SG,33,33,1232,17.9,.675,.369,.283,5.6,20.6,13.4,20.1,1.9,1.0,15.5,14.9,3.3,1.6,4.9,.190,2.3,1.5,3.8,1.8,,hartjo01
11,Luka Dončić,25,DAL,PG,22,22,785,24.9,.584,.455,.313,2.3,22.4,12.7,36.1,2.7,1.0,12.4,32.9,1.9,1.3,3.2,.194,5.6,1.2,6.9,1.8,,doncilu01
12,Franz Wagner,23,ORL,SF,25,25,829,22.9,.573,.336,.285,3.1,17.3,9.9,32.4,2.6,1.4,10.3,31.0,1.7,1.5,3.2,.186,4.3,1.8,6.2,1.7,,wagnefr01
13,LeBron James,40,LAL,SF,29,29,1015,21.9,.586,.312,.250,3.0,21.7,12.4,43.4,1.1,1.6,15.9,29.8,1.7,0.8,2.5,.117,4.6,-0.1,4.5,1.7,,jamesle01
14,Jalen Williams,23,OKC,SG,32,32,1035,20.3,.561,.300,.190,3.1,16.1,9.6,25.0,2.6,2.2,10.9,27.6,1.3,2.3,3.6,.169,2.4,1.8,4.3,1.7,,willija06
15,Kyrie Irving,32,DAL,SG,30,30,1068,20.6,.611,.384,.199,3.3,10.4,7.0,21.8,1.6,0.9,10.2,26.6,2.7,1.0,3.7,.166,4.5,-0.4,4.0,1.6,,irvinky01
16,Tyler Herro,25,MIA,SG,31,31,1095,20.1,.625,.548,.232,1.0,16.2,8.7,25.5,1.0,0.3,11.2,27.3,2.4,1.1,3.5,.154,4.7,-0.9,3.9,1.6,,herroty01
17,Stephen Curry,36,GSW,PG,26,26,812,20.5,.603,.625,.209,1.5,14.6,7.8,33.3,1.8,1.6,14.4,28.4,1.5,1.0,2.5,.151,5.6,0.2,5.8,1.6,,curryst01
18,Cameron Johnson,28,BRK,PF,31,31,1006,19.1,.665,.580,.314,2.7,13.1,7.7,16.2,1.4,1.4,9.6,21.9,2.7,0.5,3.3,.156,4.6,-0.4,4.2,1.6,,johnsca02
19,Derrick White,30,BOS,SG,32,32,1093,17.1,.614,.699,.166,3.0,11.6,7.3,19.2,1.4,3.0,11.0,19.4,2.4,1.4,3.9,.169,3.0,0.7,3.7,1.6,,whitede01
20,Payton Pritchard,27,BOS,PG,33,0,944,19.0,.651,.763,.128,5.5,9.2,7.3,17.6,1.7,0.4,8.3,19.7,3.0,1.0,4.0,.206,4.2,0.0,4.2,1.5,,pritcpa01
21,Jalen Brunson,28,NYK,PG,33,33,1152,22.1,.609,.352,.381,1.5,8.0,4.9,33.2,1.1,0.2,10.4,29.0,4.1,0.7,4.8,.201,4.9,-1.8,3.1,1.5,,brunsja01
22,Donovan Mitchell,28,CLE,SG,32,32,1009,21.2,.592,.514,.206,1.9,13.6,7.9,21.8,2.3,0.7,9.5,30.1,2.1,1.4,3.5,.165,3.7,-0.1,3.6,1.4,,mitchdo01
23,Darius Garland,25,CLE,PG,32,32,961,21.5,.628,.459,.207,1.9,7.3,4.7,32.4,1.8,0.8,12.7,26.8,3.0,1.0,4.0,.201,4.6,-0.7,3.9,1.4,,garlada01
24,LaMelo Ball,23,CHO,PG,22,22,742,22.1,.557,.529,.226,2.7,14.7,8.5,45.6,1.9,0.7,13.1,39.1,1.1,0.6,1.7,.110,6.0,-0.4,5.7,1.4,,ballla01
25,Nikola Vučević,34,CHI,C,33,33,1062,21.6,.650,.328,.146,7.1,25.6,16.4,16.3,1.1,1.8,9.5,22.4,2.7,0.9,3.7,.167,3.6,-0.3,3.3,1.4,,vucevni01
26,Tyrese Haliburton,24,IND,PG,34,34,1199,18.5,.573,.592,.227,2.3,9.3,5.9,34.5,1.6,1.6,10.8,21.2,2.9,0.5,3.4,.136,3.8,-1.2,2.6,1.4,,halibty01
27,James Harden,35,LAC,PG,32,32,1085,18.7,.572,.515,.464,1.9,18.3,10.1,35.6,2.1,1.8,20.0,30.4,0.8,1.7,2.5,.111,2.5,0.6,3.1,1.4,,hardeja01
28,Evan Mobley,23,CLE,PF,31,31,937,22.3,.648,.205,.321,7.8,23.5,15.9,13.5,1.6,4.4,13.4,23.4,2.3,1.7,4.0,.204,2.4,1.4,3.8,1.4,,mobleev01
29,Jarrett Allen,26,CLE,C,33,33,965,21.7,.717,.004,.414,8.9,28.4,18.9,8.5,1.7,2.7,10.3,15.6,3.1,1.8,4.9,.244,2.6,1.0,3.6,1.4,,allenja01
30,Damian Lillard,34,MIL,PG,24,24,871,21.8,.613,.531,.393,1.9,11.4,6.8,32.7,1.5,0.4,12.4,28.3,2.6,0.8,3.3,.184,4.7,-0.8,3.9,1.3,,lillada01
31,Anthony Edwards,23,MIN,SG,32,32,1154,17.7,.574,.489,.192,2.1,15.3,8.8,19.1,1.7,1.6,12.4,29.8,0.7,1.6,2.4,.099,2.6,-0.1,2.5,1.3,,edwaran01
32,De'Aaron Fox,27,SAC,PG,34,34,1265,20.7,.586,.310,.297,3.3,11.8,7.5,27.3,2.1,0.9,12.8,30.2,2.3,1.1,3.4,.128,2.9,-0.9,2.0,1.3,,foxde01
33,Jimmy Butler,35,MIA,PF,21,21,651,24.3,.648,.133,.659,8.7,11.4,10.0,24.5,1.9,1.2,8.2,21.4,2.8,0.7,3.5,.260,5.0,0.8,5.7,1.2,,butleji01
34,Jaren Jackson Jr.,25,MEM,C,32,32,912,21.2,.598,.326,.355,5.3,16.7,11.2,9.8,2.3,5.4,10.6,28.7,1.5,1.8,3.3,.176,1.8,1.6,3.3,1.2,,jacksja02
