player,id,VORP,best,category,surname
Nikola Jokić,DEN,3.9,1,Best Player,Jokić
Shai Gilgeous-Alexander,OKC,3.8,1,Best Player,Gilgeous-Alexander
Giannis Antetokounmpo,MIL,2.5,1,Best Player,Antetokounmpo
Jayson Tatum,BOS,2.5,1,Best Player,Tatum
Victor Wembanyama,SAS,2.4,1,Best Player,Wembanyama
Alperen Sengun,HOU,2.2,1,Best Player,Sengun
Domantas Sabonis,SAC,2.1,1,Best Player,Sabonis
Anthony Davis,LAL,2.1,1,Best Player,Davis
Karl-Anthony Towns,NYK,2.1,1,Best Player,Towns
Josh Hart,NYK,1.8,0,other,Hart
Luka Dončić,DAL,1.8,1,Best Player,Dončić
Franz Wagner,ORL,1.7,1,Best Player,Wagner
LeBron James,LAL,1.7,0,other,James
Jalen Williams,OKC,1.7,0,other,Williams
Kyrie Irving,DAL,1.6,0,other,Irving
Tyler Herro,MIA,1.6,1,Best Player,Herro
Stephen Curry,GSW,1.6,1,Best Player,Curry
Cameron Johnson,BRK,1.6,1,Best Player,Johnson
Derrick White,BOS,1.6,0,other,White
Payton Pritchard,BOS,1.5,0,other,Pritchard
Jalen Brunson,NYK,1.5,0,other,Brunson
Donovan Mitchell,CLE,1.4,1,Best Player,Mitchell
Darius Garland,CLE,1.4,0,other,Garland
LaMelo Ball,CHO,1.4,1,Best Player,Ball
Nikola Vučević,CHI,1.4,1,Best Player,Vučević
Tyrese Haliburton,IND,1.4,1,Best Player,Haliburton
James Harden,LAC,1.4,1,Best Player,Harden
Evan Mobley,CLE,1.4,0,other,Mobley
Jarrett Allen,CLE,1.4,0,other,Allen
Damian Lillard,MIL,1.3,0,other,Lillard
Anthony Edwards,MIN,1.3,1,Best Player,Edwards
De'Aaron Fox,SAC,1.3,0,other,Fox
Jimmy Butler,MIA,1.2,0,other,Butler
Jaren Jackson Jr.,MEM,1.2,1,Best Player,Jackson
Cade Cunningham,DET,1.2,1,Best Player,Cunningham
Santi Aldama,MEM,1.2,0,other,Aldama
Norman Powell,LAC,1.2,0,other,Powell
Jalen Johnson,ATL,1.2,1,Best Player,Johnson
Tyrese Maxey,PHI,1.1,1,Best Player,Maxey
Amen Thompson,HOU,1.0,0,other,Thompson
Goga Bitadze,ORL,1.0,0,other,Bitadze
Pascal Siakam,IND,1.0,0,other,Siakam
Fred VanVleet,HOU,1.0,0,other,VanVleet
Tari Eason,HOU,1.0,0,other,Eason
Kevin Durant,PHO,1.0,1,Best Player,Durant
Ivica Zubac,LAC,1.0,0,other,Zubac
Dereck Lively II,DAL,0.9,0,other,Lively
Chris Paul,SAS,0.9,0,other,Paul
Daniel Gafford,DAL,0.9,0,other,Gafford
Moritz Wagner,ORL,0.9,0,other,Wagner
Bam Adebayo,MIA,0.9,0,other,Adebayo
Julius Randle,MIN,0.9,0,other,Randle
Ja Morant,MEM,0.9,0,other,Morant
Caris LeVert,CLE,0.9,0,other,LeVert
Devin Booker,PHO,0.8,0,other,Booker
Desmond Bane,MEM,0.8,0,other,Bane
Ty Jerome,CLE,0.8,0,other,Jerome
Scottie Barnes,TOR,0.8,1,Best Player,Barnes
Trayce Jackson-Davis,GSW,0.8,0,other,Jackson-Davis
Andrew Wiggins,GSW,0.8,0,other,Wiggins
Tyus Jones,PHO,0.7,0,other,Jones
Jalen Suggs,ORL,0.7,0,other,Suggs
Trae Young,ATL,0.7,0,other,Young
Obi Toppin,IND,0.7,0,other,Toppin
Walker Kessler,UTA,0.7,1,Best Player,Kessler
Isaiah Hartenstein,OKC,0.7,0,other,Hartenstein
Jonas Valančiūnas,WAS,0.7,1,Best Player,Valančiūnas
Royce O'Neale,PHO,0.7,0,other,O'Neale
Jay Huff,MEM,0.7,0,other,Huff
Brook Lopez,MIL,0.6,0,other,Lopez
Michael Porter Jr.,DEN,0.6,0,other,Porter
Jake LaRavia,MEM,0.6,0,other,LaRavia
De'Andre Hunter,ATL,0.6,0,other,Hunter
Josh Giddey,CHI,0.6,0,other,Giddey
Jaylen Brown,BOS,0.6,0,other,Brown
John Collins,UTA,0.6,0,other,Collins
Luke Kornet,BOS,0.6,0,other,Kornet
Zach LaVine,CHI,0.6,0,other,LaVine
Rudy Gobert,MIN,0.6,0,other,Gobert
Jordan Poole,WAS,0.6,0,other,Poole
RJ Barrett,TOR,0.6,0,other,Barrett
Jrue Holiday,BOS,0.6,0,other,Holiday
Keon Ellis,SAC,0.6,0,other,Ellis
Dyson Daniels,ATL,0.6,0,other,Daniels
Jakob Poeltl,TOR,0.6,0,other,Poeltl
Lauri Markkanen,UTA,0.6,0,other,Markkanen
Dean Wade,CLE,0.5,0,other,Wade
Mikal Bridges,NYK,0.5,0,other,Bridges
Russell Westbrook,DEN,0.5,0,other,Westbrook
T.J. McConnell,IND,0.5,0,other,McConnell
Malik Beasley,DET,0.5,0,other,Beasley
Cason Wallace,OKC,0.5,0,other,Wallace
Trey Murphy III,NOP,0.5,1,Best Player,Murphy
OG Anunoby,NYK,0.5,0,other,Anunoby
Draymond Green,GSW,0.5,0,other,Green
Chet Holmgren,OKC,0.5,0,other,Holmgren
Al Horford,BOS,0.5,0,other,Horford
Bobby Portis,MIL,0.5,0,other,Portis
Nickeil Alexander-Walker,MIN,0.5,0,other,Alexander-Walker
Mark Williams,CHO,0.5,0,other,Williams
Larry Nance Jr.,ATL,0.5,0,other,Nance
Kenrich Williams,OKC,0.5,0,other,Williams
Joel Embiid,PHI,0.5,0,other,Embiid
Brandon Miller,CHO,0.5,0,other,Miller
DeMar DeRozan,SAC,0.5,0,other,DeRozan
Jalen Duren,DET,0.5,0,other,Duren
Kris Dunn,LAC,0.5,0,other,Dunn
Miles Bridges,CHO,0.5,0,other,Bridges
Deni Avdija,POR,0.5,1,Best Player,Avdija
Jabari Smith Jr.,HOU,0.4,0,other,Smith
Donte DiVincenzo,MIN,0.4,0,other,DiVincenzo
Scotty Pippen Jr.,MEM,0.4,0,other,Pippen
Kristaps Porziņģis,BOS,0.4,0,other,Porziņģis
Luke Kennard,MEM,0.4,0,other,Kennard
Klay Thompson,DAL,0.4,0,other,Thompson
P.J. Washington,DAL,0.4,0,other,Washington
Mike Conley,MIN,0.4,0,other,Conley
Paul Reed,DET,0.4,0,other,Reed
Paul George,PHI,0.4,0,other,George
Luguentz Dort,OKC,0.4,0,other,Dort
Miles McBride,NYK,0.4,0,other,McBride
Austin Reaves,LAL,0.4,0,other,Reaves
Naz Reid,MIN,0.4,0,other,Reid
Paolo Banchero,ORL,0.4,0,other,Banchero
Isaac Okoro,CLE,0.4,0,other,Okoro
Chris Boucher,TOR,0.4,0,other,Boucher
Jared McCain,PHI,0.4,0,other,McCain
Sam Hauser,BOS,0.4,0,other,Hauser
