name,date,zori,lat,lng,pop_2023,zori_yoy,state,demand,region
"New York, NY",2020-06-01,2521.670166519268,40.6943,-73.9249,19498249.0,0.006775830562412821,NY,53.0,Northest
"Los Angeles, CA",2020-06-01,2308.2855139656244,34.1141,-118.4068,12799100.0,0.010393083199002007,CA,134.0,West
"Chicago, IL",2020-06-01,1566.5864538416338,41.8375,-87.6866,9262825.0,0.013582979660700323,IL,97.0,Midwest
"Dallas, TX",2020-06-01,1350.6690779839296,32.7935,-96.7667,8100037.0,0.015864316191457783,TX,108.0,Southwest
"Houston, TX",2020-06-01,1364.0592238926529,29.786,-95.3885,7510253.0,0.009793571649062915,TX,46.0,Southwest
"Washington, DC",2020-06-01,1939.3381259423625,38.9047,-77.0163,6304975.0,0.014551107522839724,VA,102.0,Southeast
"Philadelphia, PA",2020-06-01,1456.9860743774475,40.0077,-75.1339,6246160.0,0.02692193474067972,PA,211.0,Northest
"Miami, FL",2020-06-01,1739.9410950214,25.784,-80.2101,6183199.0,0.0214310056511966,FL,32.0,Southeast
"Atlanta, GA",2020-06-01,1396.8809534238997,33.7628,-84.422,6307261.0,0.033328508037246074,GA,212.0,Southeast
"Boston, MA",2020-06-01,2435.783482929886,42.3188,-71.0852,4919179.0,0.018220937672023707,MA,28.0,Northest
"Phoenix, AZ",2020-06-01,1316.9004719663646,33.5722,-112.0892,5070110.0,0.058702517309789704,AZ,190.0,Southwest
"San Francisco, CA",2020-06-01,2794.999325472379,37.7558,-122.4449,4566961.0,0.007615717079877404,CA,103.0,West
"Riverside, CA",2020-06-01,1758.276241479448,33.9381,-117.3949,4688053.0,0.032185134107189484,CA,355.0,West
"Detroit, MI",2020-06-01,1074.6913889748837,42.3834,-83.1024,4342304.0,0.029020428321252956,MI,231.0,Midwest
"Seattle, WA",2020-06-01,1836.4421830859685,47.6211,-122.3244,4044837.0,0.0323435294817922,WA,108.0,West
"Minneapolis, MN",2020-06-01,1429.5077186569188,44.9635,-93.2678,3712020.0,0.01964373311516221,MN,136.0,Midwest
"San Diego, CA",2020-06-01,2141.28603956347,32.8313,-117.1222,3269973.0,0.0181391534627231,CA,150.0,West
"Tampa, FL",2020-06-01,1369.8741446968638,27.9945,-82.4447,3342963.0,0.03480739401486166,FL,125.0,Southeast
"Denver, CO",2020-06-01,1578.130614899662,39.762,-104.8758,3005131.0,0.007585471780255926,CO,136.0,West
"Baltimore, MD",2020-06-01,1455.9858793842034,39.3051,-76.6144,2834316.0,0.009814753397043408,MD,122.0,Northest
"St. Louis, MO",2020-06-01,1014.7310223992964,38.6359,-90.2451,2796999.0,0.034973983572389455,MO,182.0,Midwest
"Orlando, FL",2020-06-01,1449.000058221496,28.4773,-81.337,2817933.0,0.018581396646541348,FL,122.0,Southeast
"Charlotte, NC",2020-06-01,1329.3809626409418,35.2083,-80.8303,2805115.0,0.026296175968131497,NC,145.0,Southeast
"San Antonio, TX",2020-06-01,1204.8602060660155,29.4632,-98.5238,2703999.0,0.01722373549409295,TX,101.0,Southwest
"Portland, OR",2020-06-01,1480.4520586336969,45.5371,-122.65,2508050.0,0.015308792213480027,OR,130.0,West
"Sacramento, CA",2020-06-01,1744.442036159181,38.5677,-121.4685,2420608.0,0.027977975136093347,CA,314.0,West
"Pittsburgh, PA",2020-06-01,1160.4360969901045,40.4397,-79.9763,2422725.0,0.0339840829975353,PA,104.0,Northest
"Cincinnati, OH",2020-06-01,1126.825217136744,39.1413,-84.506,2271479.0,0.0482707055012912,OH,170.0,Midwest
"Austin, TX",2020-06-01,1413.0388254628624,30.3005,-97.7522,2473275.0,0.018255706945738526,TX,68.0,Southwest
"Las Vegas, NV",2020-06-01,1306.0282163244665,36.2333,-115.2654,2336573.0,0.019129648926949905,NV,189.0,West
"Kansas City, MO",2020-06-01,1068.53827308127,39.1238,-94.5541,2221343.0,0.04119121956087901,MO,153.0,Midwest
"Columbus, OH",2020-06-01,1099.4379434048574,39.9862,-82.9855,2180271.0,0.03935997855487505,OH,152.0,Midwest
"Indianapolis, IN",2020-06-01,1104.2010955491876,39.7771,-86.1458,2138468.0,0.04857882957751314,IN,162.0,Midwest
"Cleveland, OH",2020-06-01,985.3576477230096,41.4764,-81.6805,2063132.0,0.04286654971029136,OH,229.0,Midwest
"San Jose, CA",2020-06-01,2922.078401897586,37.3012,-121.848,1945767.0,0.005405379248863973,CA,104.0,West
"Nashville, TN",2020-06-01,1448.5865031977185,36.1715,-86.7842,2102573.0,0.028187698444448683,TN,85.0,Southeast
"Virginia Beach, VA",2020-06-01,1240.2641472109988,36.7335,-76.0435,1787169.0,0.024382742780745703,VA,258.0,Southeast
"Providence, RI",2020-06-01,1387.4975843620289,41.823,-71.4187,1677803.0,0.03921152375439396,RI,272.0,Northest
"Jacksonville, FL",2020-06-01,1234.1378534909493,30.3322,-81.6749,1713240.0,0.03206895213610972,FL,120.0,Southeast
"Milwaukee, WI",2020-06-01,1059.9350141921057,43.0642,-87.9675,1560424.0,0.02678433331681629,WI,176.0,Midwest
"Oklahoma City, OK",2020-06-01,1045.8272686191244,35.4676,-97.5136,1477926.0,0.024120116735476538,OK,89.0,Southwest
"Raleigh, NC",2020-06-01,1318.3431151866307,35.8324,-78.6429,1509231.0,0.02178965315386394,NC,137.0,Southeast
"Memphis, TN",2020-06-01,1058.80042859846,35.1087,-89.9663,1335674.0,0.06079703918484758,TN,236.0,Southeast
"Richmond, VA",2020-06-01,1206.4433487578765,37.5295,-77.4756,1349732.0,0.031515029287982665,VA,199.0,Southeast
"Louisville, KY",2020-06-01,1020.521069291604,38.1663,-85.6485,1365557.0,0.029235570771532826,KY,146.0,Southeast
"Salt Lake City, UT",2020-06-01,1267.2182123119858,40.7776,-111.9311,1267864.0,0.023705151617402498,UT,120.0,West
"Hartford, CT",2020-06-01,1310.6886608177138,41.7661,-72.6834,1151543.0,0.026957303297083568,CT,177.0,Northest
"Buffalo, NY",2020-06-01,969.6914831803808,42.9018,-78.8487,1155604.0,0.0429856631445773,NY,169.0,Northest
"Birmingham, AL",2020-06-01,1025.97615009091,33.5279,-86.7971,1184290.0,0.035485609671009,AL,85.0,Southeast
