date,name,total,total_ytd,multi_total,multi_total_ytd,rt,multi_rt,zori,lat,lng,pop_2023,total_pc,total_ytd_pc,multi_total_pc,multi_total_ytd_pc,rt_pc,multi_rt_pc,zori_yoy,state,region,running_total,zori_index,running_total_per_10k
2024-01-01,"Birmingham, AL",579.0,579.0,317.0,317.0,579.0,317.0,1281.195452821455,33.5279,-86.7971,1184290.0,0.4889005226760337,0.4889005226760337,0.2676709251956868,0.2676709251956868,0.4889005226760337,0.2676709251956868,,AL,Southeast,317.0,127.70033415724527,2.6767092519568685
2024-02-01,"Birmingham, AL",280.0,863.0,0.0,317.0,859.0,317.0,1283.1607995921493,33.5279,-86.7971,1184290.0,0.2364285774599127,0.7287066512425165,0.0,0.2676709251956868,0.7253291001359464,0.2676709251956868,,AL,Southeast,317.0,127.89622576675714,2.6767092519568685
2024-03-01,"Birmingham, AL",332.0,1182.0,54.0,371.0,1191.0,371.0,1288.8438342941904,33.5279,-86.7971,1184290.0,0.280336741845325,0.9980663519914886,0.0455969399386974,0.3132678651343843,1.0056658419812716,0.3132678651343843,,AL,Southeast,371.0,128.4626697303848,3.132678651343843
2024-04-01,"Birmingham, AL",277.0,1458.0,29.0,400.0,1468.0,400.0,1295.8316175335135,33.5279,-86.7971,1184290.0,0.233895414129985,1.231117378344831,0.0244872455226338,0.3377551106570181,1.2395612561112566,0.3377551106570181,,AL,Southeast,400.0,129.15916162997343,3.377551106570181
2024-05-01,"Birmingham, AL",332.0,1794.0,23.0,423.0,1800.0,423.0,1302.305579649823,33.5279,-86.7971,1184290.0,0.280336741845325,1.5148316712967262,0.0194209188627785,0.3571760295197966,1.5198979979565816,0.3571760295197966,,AL,Southeast,423.0,129.80443954112542,3.571760295197967
2024-06-01,"Birmingham, AL",301.0,2093.0,26.0,449.0,2101.0,449.0,1301.1088885349895,33.5279,-86.7971,1184290.0,0.2541607207694061,1.7673036165128473,0.0219540821927061,0.3791301117125028,1.7740587187259875,0.3791301117125028,,AL,Southeast,449.0,129.68516199068557,3.7913011171250286
2024-07-01,"Birmingham, AL",299.0,2405.0,28.0,477.0,2400.0,477.0,1307.9852280057798,33.5279,-86.7971,1184290.0,0.2524719452161211,2.0307526028253218,0.0236428577459912,0.4027729694584941,2.026530663942109,0.4027729694584941,,AL,Southeast,477.0,130.37054597816754,4.0277296945849415
2024-08-01,"Birmingham, AL",298.0,2694.0,30.0,507.0,2698.0,507.0,1314.5578252566545,33.5279,-86.7971,1184290.0,0.2516275574394785,2.274780670275017,0.0253316332992763,0.4281046027577704,2.278158221381587,0.4281046027577704,,AL,Southeast,507.0,131.0256551290542,4.2810460275777045
2024-09-01,"Birmingham, AL",271.0,2970.0,22.0,529.0,2969.0,529.0,1322.9061576738343,33.5279,-86.7971,1184290.0,0.2288290874701297,2.50783169662836,0.0185765310861359,0.4466811338439065,2.506987308851717,0.4466811338439065,,AL,Southeast,529.0,131.85775677051873,4.466811338439065
2024-10-01,"Birmingham, AL",315.0,3272.0,23.0,552.0,3284.0,552.0,1334.5765434516677,33.5279,-86.7971,1184290.0,0.2659821496424017,2.7628368051744085,0.0194209188627785,0.466102052706685,2.7729694584941185,0.466102052706685,,AL,Southeast,552.0,133.02097676188797,4.66102052706685
