date,rent
2017-01-01,1059.0
2017-02-01,1060.0
2017-03-01,1064.0
2017-04-01,1071.0
2017-05-01,1086.0
2017-06-01,1095.0
2017-07-01,1100.0
2017-08-01,1095.0
2017-09-01,1092.0
2017-10-01,1088.0
2017-11-01,1083.0
2017-12-01,1079.0
2018-01-01,1077.0
2018-02-01,1079.0
2018-03-01,1087.0
2018-04-01,1097.0
2018-05-01,1108.0
2018-06-01,1118.0
2018-07-01,1125.0
2018-08-01,1128.0
2018-09-01,1126.0
2018-10-01,1122.0
2018-11-01,1116.0
2018-12-01,1114.0
2019-01-01,1114.0
2019-02-01,1117.0
2019-03-01,1124.0
2019-04-01,1133.0
2019-05-01,1143.0
2019-06-01,1153.0
2019-07-01,1159.0
2019-08-01,1160.0
2019-09-01,1156.0
2019-10-01,1150.0
2019-11-01,1144.0
2019-12-01,1142.0
2020-01-01,1143.0
2020-02-01,1147.0
2020-03-01,1151.0
2020-04-01,1146.0
2020-05-01,1140.0
2020-06-01,1136.0
2020-07-01,1141.0
2020-08-01,1144.0
2020-09-01,1144.0
2020-10-01,1140.0
2020-11-01,1135.0
2020-12-01,1131.0
2021-01-01,1136.0
2021-02-01,1144.0
2021-03-01,1157.0
2021-04-01,1175.0
2021-05-01,1200.0
2021-06-01,1232.0
2021-07-01,1265.0
2021-08-01,1297.0
2021-09-01,1324.0
2021-10-01,1335.0
2021-11-01,1338.0
2021-12-01,1332.0
2022-01-01,1335.0
2022-02-01,1342.0
2022-03-01,1354.0
2022-04-01,1370.0
2022-05-01,1388.0
2022-06-01,1408.0
2022-07-01,1423.0
2022-08-01,1427.0
2022-09-01,1421.0
2022-10-01,1408.0
2022-11-01,1392.0
2022-12-01,1379.0
2023-01-01,1375.0
2023-02-01,1378.0
2023-03-01,1386.0
2023-04-01,1393.0
2023-05-01,1401.0
2023-06-01,1407.0
2023-07-01,1410.0
2023-08-01,1408.0
2023-09-01,1400.0
2023-10-01,1390.0
2023-11-01,1377.0
2023-12-01,1366.0
2024-01-01,1363.0
2024-02-01,1366.0
2024-03-01,1375.0
2024-04-01,1382.0
2024-05-01,1390.0
2024-06-01,1396.0
2024-07-01,1399.0
2024-08-01,1397.0
2024-09-01,1390.0
2024-10-01,1380.0
