name,fips,lat,lng,pop_2023,date,zori,zori_1yc,zori_5yc
"Los Angeles County, CA",6037,34.067886,-118.24599,9663345,2025-02-28,2898.3517662920062,0.04191185584088064,0.24172437812362269
"Cook County, IL",17031,41.869515,-87.757998,5087072,2025-02-28,2118.4795242513483,0.054543817069458767,0.266042896705057
"Harris County, TX",48201,29.816889,-95.425716,4835125,2025-02-28,1637.5039552342562,0.021680384719781953,0.21798643311122623
"Maricopa County, AZ",4013,33.490147,-112.044016,4585871,2025-02-28,1808.114958111004,0.008955848147046197,0.368055449589179
"San Diego County, CA",6073,32.884418,-117.112348,3269973,2025-02-28,3011.5766436016725,0.030736034017913694,0.39477517631624215
"Orange County, CA",6059,33.732683,-117.858773,3135755,2025-02-28,3153.409385160547,0.030153282992548602,0.3630943441426875
"Kings County, NY",36047,40.651666,-73.954985,2561225,2025-02-28,3245.7585996455596,0.026427009311599692,0.23880972260901023
"Miami-Dade County, FL",12086,25.769326,-80.30118,2686867,2025-02-28,2897.8288817151497,0.025032854983126462,0.5584028953730977
"Dallas County, TX",48113,32.809819,-96.787649,2606358,2025-02-28,1712.9234761290656,0.00930950183206991,0.2610527785851806
"Riverside County, CA",6065,33.799274,-117.076969,2492442,2025-02-28,2612.9793305308126,0.04476673471159409,0.46765238745307336
"Queens County, NY",36081,40.721204,-73.834008,2252196,2025-02-28,2796.7508043043167,0.03863381726737436,0.23020260463283826
"King County, WA",53033,47.550488,-122.230405,2271380,2025-02-28,2309.152358115245,0.03581473152773795,0.1797356560367267
"Clark County, NV",32003,36.141141,-115.152976,2336573,2025-02-28,1766.581964683446,0.028123144088187724,0.36546755539349807
"San Bernardino County, CA",6071,34.190969,-117.359766,2195611,2025-02-28,2501.353097342163,0.047057464292957096,0.455851559861717
"Tarrant County, TX",48439,32.764453,-97.247663,2182947,2025-02-28,1723.7538417471126,0.01720027521235834,0.3012337275511401
"Bexar County, TX",48029,29.484685,-98.532945,2087679,2025-02-28,1417.2646308183648,-0.001454780044140458,0.19664124986954912
"Santa Clara County, CA",6085,37.315518,-121.91109,1877592,2025-02-28,3276.6846484712646,0.03693532280742251,0.10695436020743787
"Broward County, FL",12011,26.135399,-80.226976,1962531,2025-02-28,2503.071044497183,0.016532248322410403,0.49685762814228274
"Wayne County, MI",26163,42.329477,-83.226321,1751169,2025-02-28,1410.2241344612614,0.06262154033866141,0.4390247902644808
"Alameda County, CA",6001,37.706599,-122.098766,1622188,2025-02-28,2743.7103418391293,0.025868957394976855,0.06736311245826498
"New York County, NY",36061,40.776422,-73.967437,1597451,2025-02-28,4143.163645036772,0.05062733776750927,0.2208871467335498
