name,date,zori,lat,lng,pop_2023,state,region,zori_index
"New York, NY",2015-02-01,2255.1337933640298,40.6943,-73.9249,19498249.0,NY,Northest,88.22312562293226
"Los Angeles, CA",2015-02-01,1814.1364862672629,34.1141,-118.4068,12799100.0,CA,West,77.69048009118464
"Chicago, IL",2015-02-01,1356.9152131596302,41.8375,-87.6866,9262825.0,IL,Midwest,88.23818359968116
"Dallas, TX",2015-02-01,1090.919667295614,32.7935,-96.7667,8100037.0,TX,Southwest,81.15545499267031
"Houston, TX",2015-02-01,1229.410303367334,29.786,-95.3885,7510253.0,TX,Southwest,89.89547999730692
"Washington, DC",2015-02-01,1711.7385642108318,38.9047,-77.0163,6304975.0,DC,Northest,89.1228365001252
"Philadelphia, PA",2015-02-01,1226.561921535456,40.0077,-75.1339,6246160.0,PA,Northest,85.50868604810603
"Miami, FL",2015-02-01,1491.0693253147494,25.784,-80.2101,6183199.0,FL,Southeast,84.36087912401916
"Atlanta, GA",2015-02-01,1035.7472699214534,33.7628,-84.422,6307261.0,GA,Southeast,75.41623950981055
"Boston, MA",2015-02-01,1961.914368323327,42.3188,-71.0852,4919179.0,MA,Northest,84.1493487285327
"Phoenix, AZ",2015-02-01,936.8752569182512,33.5722,-112.0892,5070110.0,AZ,Southwest,71.86979315870491
"San Francisco, CA",2015-02-01,2267.1971449668754,37.7558,-122.4449,4566961.0,CA,West,80.44985371745314
"Riverside, CA",2015-02-01,1339.2392225787792,33.9381,-117.3949,4688053.0,CA,West,76.65893981082935
"Detroit, MI",2015-02-01,865.3363515860078,42.3834,-83.1024,4342304.0,MI,Midwest,81.49193444857873
"Seattle, WA",2015-02-01,1357.9032852182222,47.6211,-122.3244,4044837.0,WA,West,75.87929543616465
"Minneapolis, MN",2015-02-01,1145.121609392051,44.9635,-93.2678,3712020.0,MN,Midwest,80.82110012322927
"San Diego, CA",2015-02-01,1678.1816766109607,32.8313,-117.1222,3269973.0,CA,West,78.0853087694062
"Tampa, FL",2015-02-01,1056.1303271153329,27.9945,-82.4447,3342963.0,FL,Southeast,78.45616064444346
"Denver, CO",2015-02-01,1258.5622681546731,39.762,-104.8758,3005131.0,CO,West,79.69426427997892
"Baltimore, MD",2015-02-01,1329.2599536930877,39.3051,-76.6144,2834316.0,MD,Northest,91.5761728306166
"St. Louis, MO",2015-02-01,867.0541111595672,38.6359,-90.2451,2796999.0,MO,Midwest,87.42128459721174
"Orlando, FL",2015-02-01,1128.3275322084414,28.4773,-81.337,2817933.0,FL,Southeast,77.71046233212896
"Charlotte, NC",2015-02-01,1026.6115988683594,35.2083,-80.8303,2805115.0,NC,Southeast,78.84958866596602
"San Antonio, TX",2015-02-01,1023.185815529993,29.4632,-98.5238,2703999.0,TX,Southwest,85.4848585162103
"Portland, OR",2015-02-01,1145.4560154258004,45.5371,-122.65,2508050.0,OR,West,77.77668874961284
"Sacramento, CA",2015-02-01,1244.5026079184229,38.5677,-121.4685,2420608.0,CA,West,72.21495434296057
"Pittsburgh, PA",2015-02-01,981.9125287919944,40.4397,-79.9763,2422725.0,PA,Northest,86.72318675287838
"Cincinnati, OH",2015-02-01,869.8996436444249,39.1413,-84.506,2271479.0,OH,Midwest,80.04917823051669
"Austin, TX",2015-02-01,1195.659459689061,30.3005,-97.7522,2473275.0,TX,Southwest,83.92405432824863
"Las Vegas, NV",2015-02-01,992.7890375358528,36.2333,-115.2654,2336573.0,NV,West,76.54276686361396
"Kansas City, MO",2015-02-01,860.6419500824654,39.1238,-94.5541,2221343.0,MO,Midwest,82.91228709669195
"Columbus, OH",2015-02-01,876.8168878551385,39.9862,-82.9855,2180271.0,OH,Midwest,80.34259211272318
"Indianapolis, IN",2015-02-01,910.9961459370228,39.7771,-86.1458,2138468.0,IN,Midwest,85.31235072195301
"Cleveland, OH",2015-02-01,824.1787997729607,41.4764,-81.6805,2063132.0,OH,Midwest,85.62223719347442
"San Jose, CA",2015-02-01,2465.2298505884232,37.3012,-121.848,1945767.0,CA,West,83.26729969728929
"Nashville, TN",2015-02-01,1160.7661443312495,36.1715,-86.7842,2102573.0,TN,Southeast,81.35582757688029
"Virginia Beach, VA",2015-02-01,1100.6772240242285,36.7335,-76.0435,1787169.0,VA,Southeast,88.8527959993693
"Providence, RI",2015-02-01,1088.2059464270003,41.823,-71.4187,1677803.0,RI,Northest,78.25692561483069
"Jacksonville, FL",2015-02-01,1000.5239012839224,30.3322,-81.6749,1713240.0,FL,Southeast,81.76507167590005
"Milwaukee, WI",2015-02-01,904.606207847438,43.0642,-87.9675,1560424.0,WI,Midwest,88.66209914383994
"Oklahoma City, OK",2015-02-01,930.093987448304,35.4676,-97.5136,1477926.0,OK,Southwest,90.25535485352314
"Raleigh, NC",2015-02-01,1102.7730582218442,35.8324,-78.6429,1509231.0,NC,Southeast,83.43566941933165
"Memphis, TN",2015-02-01,905.7166444027242,35.1087,-89.9663,1335674.0,TN,Southeast,88.26620495820215
"Richmond, VA",2015-02-01,976.4071489771242,37.5295,-77.4756,1349732.0,VA,Southeast,82.73095467400722
"Louisville, KY",2015-02-01,828.6696901085845,38.1663,-85.6485,1365557.0,KY,Southeast,82.70625475636392
"Salt Lake City, UT",2015-02-01,960.4593793983324,40.7776,-111.9311,1267864.0,UT,West,78.2727923437149
"Hartford, CT",2015-02-01,1144.7471780331923,41.7661,-72.6834,1151543.0,CT,Northest,88.75964752446977
"Buffalo, NY",2015-02-01,771.269139815358,42.9018,-78.8487,1155604.0,NY,Northest,81.07543798895904
"Birmingham, AL",2015-02-01,886.9412191588584,33.5279,-86.7971,1184290.0,AL,Southeast,86.96538608626938
"Grand Rapids, MI",2015-02-01,871.1388516419504,42.9619,-85.6562,1162950.0,MI,Midwest,73.37953695050128
"New York, NY",2015-03-01,2269.988689083196,40.6943,-73.9249,19498249.0,NY,Northest,88.80426423874475
"Los Angeles, CA",2015-03-01,1826.6765534053848,34.1141,-118.4068,12799100.0,CA,West,78.2275090543918
"Chicago, IL",2015-03-01,1363.5760738840252,41.8375,-87.6866,9262825.0,IL,Midwest,88.67132949253507
"Dallas, TX",2015-03-01,1095.9243872797958,32.7935,-96.7667,8100037.0,TX,Southwest,81.52776501659174
"Houston, TX",2015-03-01,1233.129495642177,29.786,-95.3885,7510253.0,TX,Southwest,90.16743035743772
"Washington, DC",2015-03-01,1718.5546114992478,38.9047,-77.0163,6304975.0,DC,Northest,89.47771865372248
"Philadelphia, PA",2015-03-01,1233.2622239216212,40.0077,-75.1339,6246160.0,PA,Northest,85.97579173849691
"Miami, FL",2015-03-01,1497.1611198942217,25.784,-80.2101,6183199.0,FL,Southeast,84.7055372411451
"Atlanta, GA",2015-03-01,1041.0364988808356,33.7628,-84.422,6307261.0,GA,Southeast,75.8013660456046
"Boston, MA",2015-03-01,1983.9647843621308,42.3188,-71.0852,4919179.0,MA,Northest,85.09512300839808
"Phoenix, AZ",2015-03-01,951.339986859675,33.5722,-112.0892,5070110.0,AZ,Southwest,72.97941489469379
"San Francisco, CA",2015-03-01,2275.687595788949,37.7558,-122.4449,4566961.0,CA,West,80.75113123456161
"Riverside, CA",2015-03-01,1341.6236760225104,33.9381,-117.3949,4688053.0,CA,West,76.79542750469538
"Detroit, MI",2015-03-01,869.5407415201641,42.3834,-83.1024,4342304.0,MI,Midwest,81.88787744609937
"Seattle, WA",2015-03-01,1365.513153612119,47.6211,-122.3244,4044837.0,WA,West,76.3045329758161
"Minneapolis, MN",2015-03-01,1151.503344816465,44.9635,-93.2678,3712020.0,MN,Midwest,81.2715141870861
"San Diego, CA",2015-03-01,1689.6231188723298,32.8313,-117.1222,3269973.0,CA,West,78.6176757736453
"Tampa, FL",2015-03-01,1059.150161328453,27.9945,-82.4447,3342963.0,FL,Southeast,78.68049337314301
"Denver, CO",2015-03-01,1273.7568128807068,39.762,-104.8758,3005131.0,CO,West,80.65640822283362
"Baltimore, MD",2015-03-01,1333.3327658032756,39.3051,-76.6144,2834316.0,MD,Northest,91.8567594417403
"St. Louis, MO",2015-03-01,868.6808842934869,38.6359,-90.2451,2796999.0,MO,Midwest,87.58530503755692
"Orlando, FL",2015-03-01,1134.3003060959848,28.4773,-81.337,2817933.0,FL,Southeast,78.12182074265873
