name,date,zori,lat,lng,pop_2023
"New York, NY",2015-02-01,2233.1414512014185,40.6943,-73.9249,19498249.0
"Los Angeles, CA",2015-02-01,1809.922576276046,34.1141,-118.4068,12799100.0
"Chicago, IL",2015-02-01,1400.3429835465188,41.8375,-87.6866,9262825.0
"Dallas, TX",2015-02-01,1095.378833470736,32.7935,-96.7667,8100037.0
"Houston, TX",2015-02-01,1217.1998954654057,29.786,-95.3885,7510253.0
"Washington, DC",2015-02-01,1690.3728110244178,38.9047,-77.0163,6304975.0
"Philadelphia, PA",2015-02-01,1229.463962526102,40.0077,-75.1339,6246160.0
"Miami, FL",2015-02-01,1470.221889321441,25.784,-80.2101,6183199.0
"Atlanta, GA",2015-02-01,1027.5632152267283,33.7628,-84.422,6307261.0
"Boston, MA",2015-02-01,2040.7922389852556,42.3188,-71.0852,4919179.0
"Phoenix, AZ",2015-02-01,934.2136741510084,33.5722,-112.0892,5070110.0
"San Francisco, CA",2015-02-01,2253.6107254343174,37.7558,-122.4449,4566961.0
"Riverside, CA",2015-02-01,1332.116314119529,33.9381,-117.3949,4688053.0
"Detroit, MI",2015-02-01,858.0234013385243,42.3834,-83.1024,4342304.0
"Seattle, WA",2015-02-01,1365.4080534041682,47.6211,-122.3244,4044837.0
"Minneapolis, MN",2015-02-01,1128.1624147987925,44.9635,-93.2678,3712020.0
"San Diego, CA",2015-02-01,1678.5387769052948,32.8313,-117.1222,3269973.0
"Tampa, FL",2015-02-01,1071.2618457778674,27.9945,-82.4447,3342963.0
"Denver, CO",2015-02-01,1247.9908996339195,39.762,-104.8758,3005131.0
"Baltimore, MD",2015-02-01,1300.6840277346678,39.3051,-76.6144,2834316.0
"St. Louis, MO",2015-02-01,870.030466884161,38.6359,-90.2451,2796999.0
"Orlando, FL",2015-02-01,1125.847366200798,28.4773,-81.337,2817933.0
"Charlotte, NC",2015-02-01,1021.774306825719,35.2083,-80.8303,2805115.0
"San Antonio, TX",2015-02-01,1021.0362868284574,29.4632,-98.5238,2703999.0
"Portland, OR",2015-02-01,1138.757516612358,45.5371,-122.65,2508050.0
"Sacramento, CA",2015-02-01,1250.910404828406,38.5677,-121.4685,2420608.0
"Pittsburgh, PA",2015-02-01,976.048438322786,40.4397,-79.9763,2422725.0
"Cincinnati, OH",2015-02-01,878.7810194457811,39.1413,-84.506,2271479.0
"Austin, TX",2015-02-01,1182.7682267798282,30.3005,-97.7522,2473275.0
"Las Vegas, NV",2015-02-01,983.9343610290872,36.2333,-115.2654,2336573.0
"Kansas City, MO",2015-02-01,881.28429740434,39.1238,-94.5541,2221343.0
"Columbus, OH",2015-02-01,873.5202256944144,39.9862,-82.9855,2180271.0
"Indianapolis, IN",2015-02-01,914.1219572434622,39.7771,-86.1458,2138468.0
"Cleveland, OH",2015-02-01,835.5638451107974,41.4764,-81.6805,2063132.0
"San Jose, CA",2015-02-01,2440.351029497665,37.3012,-121.848,1945767.0
"Nashville, TN",2015-02-01,1151.757441261319,36.1715,-86.7842,2102573.0
"Virginia Beach, VA",2015-02-01,1083.0542558553757,36.7335,-76.0435,1787169.0
"Providence, RI",2015-02-01,1046.1117817227023,41.823,-71.4187,1677803.0
