name,pop_2023,most_recent_heat,most_recent_zori,most_recent_date,heat_1yc,zori_1yc,heat_2yc,zori_2yc,heat_3yc,zori_3yc,heat_4yc,zori_4yc,heat_5yc,zori_5yc
"New York, NY",19498249,74.0,3397.349448,2024-09-30,-3.896103896103896,3.172543801453015,21.311475409836063,6.716818558888125,5.714285714285714,22.642024148364506,-10.843373493975903,,37.03703703703704,25.983809512018897
"Los Angeles, CA",12799100,63.0,2983.960991,2024-09-30,-13.698630136986301,2.6037958493354876,0.0,4.683613571136263,-26.744186046511626,14.996615263149948,-25.882352941176475,27.272240267027808,-1.5625,26.655969114432903
"Chicago, IL",9262825,58.0,2044.046378,2024-09-30,-9.375,4.7962744842768705,5.454545454545454,10.70495519582904,1.7543859649122806,20.45549229766363,0.0,28.133410568277768,31.818181818181817,27.4703813979065
"Dallas, TX",8100037,48.0,1789.640286,2024-09-30,-18.64406779661017,0.20489059195070666,-18.64406779661017,0.39030913951167157,-36.84210526315789,11.16231971643687,-32.3943661971831,27.58350449320296,-4.0,29.484627987226457
"Houston, TX",7510253,48.0,1723.16482,2024-09-30,-7.6923076923076925,2.47684148860295,-7.6923076923076925,4.94382575816013,-23.809523809523807,11.9036941095478,-18.64406779661017,23.326590418831962,2.127659574468085,24.4047233923372
"Atlanta, GA",6307261,44.0,1914.205588,2024-09-30,-22.807017543859647,1.1603643884618149,-15.384615384615385,1.5694357594320025,-39.726027397260275,10.22493423573336,-34.32835820895522,31.374505775984208,-15.384615384615385,38.03298095990503
"Washington, DC",6304975,68.0,2430.352214,2024-09-30,-5.555555555555555,4.797782162117259,7.936507936507936,7.996309512600587,3.0303030303030303,16.098040065374917,-12.82051282051282,24.64457846361553,9.67741935483871,23.68178637311803
"Philadelphia, PA",6246160,58.0,1872.535793,2024-09-30,-7.936507936507936,3.7484459112306143,-3.3333333333333335,7.179626950995748,-10.76923076923077,15.986065043310854,-24.675324675324674,26.05395470085653,9.433962264150944,29.233944126230853
"Miami, FL",6183199,36.0,2780.574069,2024-09-30,-18.181818181818183,2.4460059417380546,-21.73913043478261,4.91964486377161,-33.33333333333333,23.910896252622138,-23.404255319148938,54.21465956373254,-10.0,57.040240165122604
"Phoenix, AZ",5070110,53.0,1863.486869,2024-09-30,-8.620689655172415,1.0074442908012402,20.454545454545457,1.1906404345916481,-27.397260273972602,7.605653022868763,-31.16883116883117,33.24632600358924,-17.1875,42.83745955336442
"Boston, MA",4919179,74.0,2950.579861,2024-09-30,-6.329113924050633,3.2917877596633236,7.246376811594203,8.556275957193742,-5.128205128205128,20.00917569266953,-11.904761904761903,,23.333333333333332,25.235368198147906
"Riverside, CA",4688053,59.0,2569.959235,2024-09-30,-9.230769230769232,3.7848275805809983,0.0,5.474318594333588,-21.333333333333336,14.538299838191715,-28.915662650602407,37.086130281249524,-3.278688524590164,46.51442542229838
"San Francisco, CA",4566961,68.0,3090.437038,2024-09-30,-16.049382716049383,2.276657125487069,19.298245614035086,1.96503849523233,-33.33333333333333,7.752029320353702,-45.16129032258064,,-6.8493150684931505,6.836617327333946
"Detroit, MI",4342304,52.0,1491.409502,2024-09-30,-14.754098360655737,5.369429861870165,8.333333333333332,7.896278496800741,-13.333333333333334,16.726347555870227,-30.666666666666664,30.68381264283806,20.930232558139537,38.243676722234206
"Seattle, WA",4044837,55.0,2273.427539,2024-09-30,-14.0625,3.5602755561331816,41.02564102564102,4.1979844660690135,-39.56043956043956,12.570931757780194,-39.56043956043956,24.331769079900763,-1.7857142857142856,24.577993132614722
"Minneapolis, MN",3712020,64.0,1680.139744,2024-09-30,-4.477611940298507,3.560669176041579,4.918032786885246,5.873467322782065,-9.859154929577464,10.55654671162832,-23.809523809523807,15.606784288019881,14.285714285714285,17.987905992707613
"Tampa, FL",3342963,40.0,2089.115378,2024-09-30,-16.666666666666664,1.4464126541164737,-14.893617021276595,4.203829414109145,-41.17647058823529,16.98587798886085,-35.483870967741936,45.048977748244624,-21.568627450980394,52.56977178797446
"San Diego, CA",3269973,57.0,3059.988805,2024-09-30,-18.571428571428573,1.469685739404464,-5.0,5.054607103910525,-28.749999999999996,19.977318785186956,-26.923076923076923,38.81698981765126,1.7857142857142856,41.08155117270999
"Denver, CO",3005131,48.0,2040.429585,2024-09-30,-14.285714285714285,1.8308370557294642,-5.88235294117647,4.577521406360753,-41.46341463414634,12.008279167007698,-37.66233766233766,25.485400027835915,-12.727272727272727,26.543806001776044
