date,name,total,total_ytd,multi_total,multi_total_ytd,pop_2023,lat,lng,zori,total_per_capita,total_ytd_per_capita,multi_total_per_capita,multi_total_ytd_per_capita,zori_yoy
2019-11-01,"Grand Rapids, MI",121.0,2779.0,121.0,2838.0,1162950,42.9619,-85.6562,1142.228554,0.1040457457328346,2.3896126230706396,0.1040457457328346,2.4403456726428483,
2019-11-01,"Denver, CO",1314.0,16824.0,1319.0,16940.0,3005131,39.762,-104.8758,1608.646985,0.43725215306753684,5.59842482740353,0.4389159740457238,5.637025474097468,
2019-11-01,"Detroit, MI",588.0,7076.0,600.0,7205.0,4342304,42.3834,-83.1024,1076.702325,0.13541198405270566,1.629549658430179,0.13817549393133233,1.6592573896254155,
2019-11-01,"Jacksonville, FL",1011.0,13995.0,1015.0,14075.0,1713240,30.3322,-81.6749,1242.301895,0.5901099670799188,8.168732927085523,0.5924447246153487,8.21542807779412,
2019-11-01,"Kansas City, MO",552.0,8319.0,559.0,8393.0,2221343,39.1238,-94.5541,1058.463568,0.248498318359659,3.7450317218007307,0.2516495651504518,3.7783449021605398,
2019-11-01,"Indianapolis, IN",488.0,8635.0,488.0,8715.0,2138468,39.7771,-86.1458,1093.691396,0.22820074932147688,4.037937439325723,0.22820074932147688,4.075347398230883,
2019-11-01,"Hartford, CT",110.0,1333.0,115.0,1397.0,1151543,41.7661,-72.6834,1318.063049,0.09552400561681153,1.1575772680655434,0.09986600587212115,1.2131548713335063,
2019-11-01,"Houston, TX",5540.0,57184.0,5588.0,57667.0,7510253,29.786,-95.3885,1384.46049,0.7376582386771791,7.614124317782637,0.7440495013949596,7.678436398880304,
2019-11-01,"Baltimore, MD",563.0,6696.0,564.0,6728.0,2834316,39.3051,-76.6144,1479.273646,0.19863699037086902,2.3624747558141013,0.19898980918147446,2.3737649577534756,
2019-11-01,"Birmingham, AL",257.0,2787.0,258.0,2797.0,1184290,33.5279,-86.7971,1087.910012,0.21700765859713414,2.353308733502774,0.2178520463737767,2.3617526112691993,
2019-11-01,"Boston, MA",1389.0,13579.0,1425.0,14221.0,4919179,42.3188,-71.0852,2332.590625,0.2823641912603709,2.760419980651243,0.2896824856342898,2.8909295636527967,
2019-11-01,"Austin, TX",1967.0,29479.0,1972.0,29815.0,2473275,30.3005,-97.7522,1443.424807,0.7953017759852826,11.91901426246576,0.797323387007106,12.054866523132285,
2019-11-01,"Atlanta, GA",1819.0,30513.0,1828.0,30677.0,6307261,33.7628,-84.422,1383.687597,0.28839776885719487,4.837757625695211,0.2898246956959606,4.863759403646052,
2019-11-01,"Cleveland, OH",213.0,2797.0,215.0,2810.0,2063132,41.4764,-81.6805,1007.448255,0.10324109169941623,1.3557057910012542,0.10421049162147647,1.3620068904946458,
2019-11-01,"Columbus, OH",898.0,7332.0,926.0,7482.0,2180271,39.9862,-82.9855,1164.760626,0.4118754044795349,3.3628847056168705,0.42471784470829543,3.431683492556659,
2019-11-01,"Dallas, TX",5734.0,59392.0,5840.0,59977.0,8100037,32.7935,-96.7667,1378.43256,0.7078980009597486,7.332312185734461,0.7209843609356352,7.404534078054211,
2019-11-01,"Cincinnati, OH",867.0,5810.0,874.0,5858.0,2271479,39.1413,-84.506,1081.01993,0.3816896392174438,2.5578048487351195,0.3847713318062813,2.5789364550585763,
2019-11-01,"Chicago, IL",1628.0,15873.0,1651.0,16109.0,9262825,41.8375,-87.6866,1589.847347,0.17575631624261498,1.7136240833654959,0.17823936002245536,1.7391022717151625,
2019-11-01,"Buffalo, NY",247.0,1634.0,269.0,1704.0,1155604,42.9018,-78.8487,956.2007976,0.21374103931796706,1.4139791831803974,0.23277870273900056,1.4745535667927767,
2019-11-01,"Charlotte, NC",1720.0,21414.0,1736.0,21609.0,2805115,35.2083,-80.8303,1322.669086,0.6131655921414987,7.6339116221616585,0.618869458114908,7.703427488712584,
2019-11-01,"Seattle, WA",2803.0,23977.0,2842.0,24362.0,4044837,47.6211,-122.3244,1810.941181,0.6929821893935404,5.92780376564,0.7026241106872786,6.022986834821775,
2019-11-01,"Richmond, VA",360.0,7625.0,363.0,7719.0,1349732,37.5295,-77.4756,1176.494479,0.26671961544958556,5.6492696327863605,0.26894227891166544,5.71891308793153,
2019-11-01,"Riverside, CA",992.0,12458.0,1004.0,12631.0,4688053,33.9381,-117.3949,1758.867457,0.21160170330838837,2.657393165136998,0.21416140133228018,2.6942954783147717,
