bed_size,date,rent
overall,2017_01,1070.0
1br,2017_01,940.0
2br,2017_01,1059.0
overall,2017_02,1071.0
1br,2017_02,941.0
2br,2017_02,1060.0
overall,2017_03,1075.0
1br,2017_03,944.0
2br,2017_03,1064.0
overall,2017_04,1082.0
1br,2017_04,951.0
2br,2017_04,1071.0
overall,2017_05,1097.0
1br,2017_05,964.0
2br,2017_05,1086.0
overall,2017_06,1106.0
1br,2017_06,972.0
2br,2017_06,1095.0
overall,2017_07,1111.0
1br,2017_07,976.0
2br,2017_07,1100.0
overall,2017_08,1107.0
1br,2017_08,972.0
2br,2017_08,1095.0
overall,2017_09,1104.0
1br,2017_09,970.0
2br,2017_09,1092.0
overall,2017_10,1099.0
1br,2017_10,966.0
2br,2017_10,1088.0
overall,2017_11,1094.0
1br,2017_11,962.0
2br,2017_11,1083.0
overall,2017_12,1090.0
1br,2017_12,958.0
2br,2017_12,1079.0
overall,2018_01,1088.0
1br,2018_01,956.0
2br,2018_01,1077.0
overall,2018_02,1091.0
1br,2018_02,958.0
2br,2018_02,1079.0
overall,2018_03,1098.0
1br,2018_03,965.0
2br,2018_03,1087.0
overall,2018_04,1108.0
1br,2018_04,974.0
2br,2018_04,1097.0
overall,2018_05,1120.0
1br,2018_05,984.0
2br,2018_05,1108.0
overall,2018_06,1130.0
1br,2018_06,993.0
2br,2018_06,1118.0
overall,2018_07,1137.0
1br,2018_07,999.0
2br,2018_07,1125.0
overall,2018_08,1140.0
1br,2018_08,1001.0
2br,2018_08,1128.0
overall,2018_09,1138.0
1br,2018_09,999.0
2br,2018_09,1126.0
overall,2018_10,1133.0
1br,2018_10,996.0
2br,2018_10,1122.0
overall,2018_11,1128.0
1br,2018_11,991.0
2br,2018_11,1116.0
overall,2018_12,1126.0
1br,2018_12,989.0
2br,2018_12,1114.0
overall,2019_01,1126.0
1br,2019_01,989.0
2br,2019_01,1114.0
overall,2019_02,1129.0
1br,2019_02,992.0
2br,2019_02,1117.0
overall,2019_03,1136.0
1br,2019_03,998.0
2br,2019_03,1124.0
overall,2019_04,1145.0
1br,2019_04,1006.0
2br,2019_04,1133.0
overall,2019_05,1155.0
1br,2019_05,1015.0
2br,2019_05,1143.0
